Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
HOCT,13007,0,0.00,0,0.00,23.92,13007,0
XVV,12811,0,0.00,0,0.00,46.51,12811,0
NEAR,12684,0,0.00,50,50.40,50.84,12469,215
FLHY,12656,0,0.00,0,0.00,24.27,12656,0
CNYA,12569,1000,32.00,10,21.00,29.14,12569,0
TYA,12557,0,0.00,15,12.30,13.16,12557,0
BUFR,12287,0,0.00,1,30.61,30.68,12287,0
MSFX,12203,77,26.97,400,26.62,26.80,12203,0
DISV,12073,80,27.89,0,0.00,27.35,12073,0
ACWV,11812,0,0.00,0,0.00,115.42,11812,0
IBHF,11038,0,0.00,500,23.11,23.33,11038,0
HYDB,10177,201,51.85,0,0.00,47.96,9836,341
LOCT,9929,0,0.00,0,0.00,23.85,9929,0
LAPR,9900,0,0.00,0,0.00,25.16,9900,0
SMIN,9858,6,88.58,61,82.75,83.02,9008,850
HJUL,9200,0,0.00,0,0.00,24.06,9200,0
HAPR,9007,0,0.00,0,0.00,25.21,9007,0
VIXM,8800,1,15.08,53,13.68,13.74,8788,12
BBRE,8519,50,108.00,1,95.00,102.19,8119,400
ISPY,8369,50,46.34,1,45.77,45.95,8369,0
MLN,8013,3400,18.50,0,0.00,18.27,8013,0
DRAG,7954,30,21.15,100,20.02,21.03,7954,0
GCOW,7627,34,37.30,5,34.43,35.45,7627,0
ADFI,7625,0,0.00,0,0.00,8.62,7625,0
PSFF,7623,0,0.00,0,0.00,29.34,7623,0
ICLO,7542,90,25.69,10,25.60,25.64,7542,0
SLVP,7466,50,13.03,20,12.02,12.97,7466,0
TMFC,7463,40,64.20,300,59.60,59.99,7463,0
TMFS,7339,162,39.75,100,37.00,39.74,7339,0
FLBL,7313,0,0.00,308,24.20,24.44,7313,0
SMMD,7228,0,0.00,0,0.00,73.94,7228,0
VTEI,6919,0,0.00,0,0.00,100.75,6919,0
XNOV,6913,0,0.00,0,0.00,34.31,6913,0
ICOW,6905,0,0.00,0,0.00,30.25,6905,0
YBTC,6726,420,53.50,1,50.01,51.00,6466,260
QMNV,6719,0,0.00,0,0.00,20.18,6719,0
VSGX,6657,1,60.50,8,58.50,58.81,6657,0
FPFD,6560,26,22.51,0,0.00,21.95,6460,100
NANC,6296,1,40.12,3,39.64,39.93,6296,0
DIVB,6250,400,52.20,1,47.95,50.95,6250,0
NOVM,6233,0,0.00,0,0.00,30.68,6233,0
XSHD,6190,21,22.18,50,15.25,15.63,6190,0
HYIN,5909,10,19.35,40,18.50,18.65,5891,18
IWMI,5867,0,0.00,500,52.11,55.89,5867,0
EMHY,5831,25,39.69,31,32.55,38.98,5506,325
GVI,5813,15,115.42,0,0.00,105.43,5651,162
SATO,5811,40,24.80,5,21.00,24.19,5811,0
ITWO,5692,23,60.00,0,0.00,44.11,5626,66
MBCC,5420,0,0.00,0,0.00,35.93,4320,1100
IQDG,5369,0,0.00,0,0.00,35.99,5369,0
OUSM,5354,0,0.00,0,0.00,46.94,5354,0
JEMA,5278,0,0.00,0,0.00,38.45,5278,0
RSST,5250,0,0.00,1,22.50,24.06,5249,1
SDVD,5022,0,0.00,15,22.64,23.89,5022,0
DRSK,4902,0,0.00,0,0.00,27.88,4902,0
BNOV,4770,0,0.00,0,0.00,39.81,4770,0
CEMB,4764,0,0.00,0,0.00,45.26,4764,0
BUFF,4757,0,0.00,0,0.00,45.15,4757,0
BUYW,4738,0,0.00,36,13.80,13.80,4338,400
SYLD,4677,0,0.00,1,70.25,75.69,4677,0
DMAY,4568,0,0.00,0,0.00,41.08,4568,0
GSEW,4562,0,0.00,1,79.50,82.73,4562,0
ETHV,4479,4000,52.82,4000,52.34,52.52,4479,0
IBHG,4433,0,0.00,500,22.25,22.54,4433,0
PSMR,4428,0,0.00,0,0.00,28.20,4428,0
REGL,4423,0,0.00,0,0.00,88.36,4187,236
BUFQ,4421,0,0.00,0,0.00,31.32,4221,200
RSSY,4342,0,0.00,0,0.00,20.79,4342,0
VCRM,4256,0,0.00,100,75.76,75.99,4256,0
URAN,4236,0,0.00,100,27.50,34.48,4236,0
PFEB,4233,0,0.00,0,0.00,36.68,4233,0
JPIB,4208,0,0.00,0,0.00,48.01,4208,0
VTEC,4195,0,0.00,0,0.00,101.24,4195,0
FFLC,4043,0,0.00,2250,46.01,47.56,4043,0
WTAI,4023,0,0.00,1,21.47,21.89,4023,0
PBDE,3970,0,0.00,0,0.00,26.57,3970,0
EZET,3953,7500,27.41,7500,27.13,27.25,3953,0
MAXJ,3945,7,26.55,100,24.89,26.38,3945,0
JPLD,3932,1458,52.33,0,0.00,51.80,3932,0
BTCI,3822,0,0.00,50,63.00,62.85,3822,0
GOCT,3814,0,0.00,0,0.00,35.38,3814,0
NULG,3762,0,0.00,625,80.00,88.82,3762,0
NUSC,3633,0,0.00,0,0.00,45.98,3633,0
VSDM,3630,0,0.00,1,75.00,75.45,3630,0
IBHD,3398,0,0.00,0,0.00,23.28,3398,0
GSUS,3369,0,0.00,0,0.00,83.03,3369,0
PJAN,3368,0,0.00,0,0.00,42.01,3368,0
VAMO,3283,0,0.00,0,0.00,32.22,3283,0
SMOT,3084,0,0.00,1,36.00,37.18,3084,0
NFLU,3075,58,38.03,48,37.01,37.01,3075,0
FLDR,3043,0,0.00,20,50.06,50.06,3043,0
RMIF,2994,0,0.00,0,0.00,25.40,2994,0
FLQM,2957,0,0.00,10,49.80,58.63,2957,0
EWUS,2925,0,0.00,0,0.00,36.89,2925,0
NULV,2914,0,0.00,1,30.00,43.28,2834,80
SMMV,2894,0,0.00,0,0.00,44.35,2894,0
BBIB,2860,0,0.00,0,0.00,97.97,2860,0
HYMU,2825,0,0.00,0,0.00,23.20,2825,0
SMB,2808,0,0.00,0,0.00,17.22,2808,0
PTLC,2772,0,0.00,0,0.00,55.13,2772,0
IEO,2745,23,104.50,1,89.10,99.44,2745,0
HYGW,2718,106,32.65,3,31.90,32.55,2718,0
XMPT,2717,500,23.19,0,0.00,22.90,2717,0
MFUT,2632,0,0.00,0,0.00,16.96,2632,0
BUFD,2624,0,0.00,10,25.01,25.67,2624,0
IYJ,2619,12,145.00,0,0.00,143.93,2619,0
VCEB,2608,0,0.00,0,0.00,63.61,2608,0
FPAG,2600,0,0.00,0,0.00,31.34,2600,0
RSBT,2600,500,20.20,100,16.00,16.82,2600,0
FAUG,2591,0,0.00,0,0.00,47.01,2591,0
SHYD,2574,17,25.50,36,22.09,22.76,2374,200
KRUZ,2572,200,33.50,3,31.00,33.53,2572,0
PTMC,2567,0,0.00,0,0.00,40.12,2567,0
RDFI,2565,0,0.00,0,0.00,24.58,2565,0
OILK,2548,40,44.25,1,42.00,42.71,2548,0
IMFL,2487,0,0.00,0,0.00,24.56,2487,0
